index,memory_address,rodata_offset,capacity_bytes,classification,original,translation,status,notes
1,0x00455200,0x00000200,3,single_kanji,谿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
2,0x00455410,0x00000410,3,single_kanji,豿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
3,0x004556E0,0x000006E0,3,single_kanji,貿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
4,0x00455C20,0x00000C20,3,single_kanji,贿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
5,0x00455EA8,0x00000EA8,3,single_kanji,赿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
6,0x00456148,0x00001148,3,single_kanji,趿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
7,0x00456418,0x00001418,3,single_kanji,跿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
8,0x004566B8,0x000016B8,3,single_kanji,踿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
9,0x00456988,0x00001988,3,single_kanji,蹿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
10,0x00456C58,0x00001C58,3,single_kanji,躿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
11,0x00456D48,0x00001D48,3,single_kanji,軿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
12,0x00457030,0x00002030,3,single_kanji,迿,,excluded_non_text,폰트/문자 테이블 영역의 단일 한자 후보.
13,0x006160B4,0x001C10B4,6,kanji_only,選択,선택,needs_review,
14,0x006160BB,0x001C10BB,6,text,送り,결정,needs_review,
15,0x006160C2,0x001C10C2,12,kanji_only,選択開始,선택시작,needs_review,compacted:spaces_removed
16,0x0061636C,0x001C136C,6,kanji_only,決定,확인,needs_review,
17,0x00616404,0x001C1404,6,text,はい,예,needs_review,
18,0x0061640B,0x001C140B,9,text,いいえ,아니오,needs_review,
19,0x00616416,0x001C1416,12,text,ゲロッゴ,게로르고,needs_review,
20,0x00616423,0x001C1423,15,text,にゅろきー,뉴로키,needs_review,
21,0x00616433,0x001C1433,12,text,くまサン,쿠마상,needs_review,
22,0x00616440,0x001C1440,15,text,わからない,모르겠어,needs_review,
23,0x00616450,0x001C1450,30,text,俺がやっつけてやる！,내가 해치워 주지！,needs_review,
24,0x0061646F,0x001C146F,24,text,ひとまず退却だ！,일단 퇴각이다！,needs_review,
25,0x00616488,0x001C1488,27,text,キャスを抱いて庇う,캐스를 안고 감싸다,needs_review,
26,0x006164A4,0x001C14A4,21,text,素直に立ち去る,순순히 떠나다,needs_review,
27,0x006164BA,0x001C14BA,18,text,立ち去らない,안 떠나,needs_review,
28,0x006164CD,0x001C14CD,18,text,今しちゃう！,지금해버려！,needs_review,expanded:refit_to_capacity
29,0x006164E0,0x001C14E0,24,text,そんなバカな……,말도 안 돼……,needs_review,
30,0x006164F9,0x001C14F9,24,text,優しく安心させる,다정히안심,needs_review,compacted:word_abbreviation
31,0x00616512,0x001C1512,36,text,きつく叱って言い聞かせる,엄하게 꾸짖으며 타이른다,needs_review,
32,0x00616537,0x001C1537,48,text,キャスともっとわかり合いたいから,캐스와 더 잘 이해하고 싶으니까,needs_review,
33,0x00616568,0x001C1568,39,text,俺にはキャスしかいないから,내게는 캐스뿐이니까,needs_review,
34,0x00616590,0x001C1590,30,text,キャスを愛してるから,캐스를 사랑하니까,needs_review,
35,0x006165AF,0x001C15AF,42,text,そんな事ない、頑張って倒せ！,"그렇지 않아, 힘내서쓰러뜨려！",needs_review,
36,0x006165DA,0x001C15DA,33,text,今の想いを正直に叫べ！,마음을외쳐라！,needs_review,compacted:word_abbreviation
37,0x006165FC,0x001C15FC,21,text,トップ取りたい,1등 하고 싶어,needs_review,
38,0x00616612,0x001C1612,18,text,遠慮しておく,사양할게,needs_review,
39,0x00616625,0x001C1625,21,text,その必要はない,그럴 필요 없어,needs_review,
40,0x0061663B,0x001C163B,9,text,下がる,물러나,needs_review,
41,0x00616645,0x001C1645,18,text,カッコイイ！,멋져！,needs_review,
42,0x00616658,0x001C1658,21,text,よく分からない,잘 모르겠어,needs_review,
43,0x0061666E,0x001C166E,15,text,俺が戦う！,내가싸워！,needs_review,compacted:manual_override
44,0x0061667E,0x001C167E,24,text,一緒に逃げるぞ！,함께 도망치자！,needs_review,
